year,lake,break_jday,break_date,clear_jday,clear_date,form_jday,form_date,Elevation
2008,Green3,141,5/20/08,166,6/14/08,308,11/3/08,3450
2009,Green3,141,5/21/09,154,6/3/09,295,10/22/09,3450
2010,Green3,147,5/27/10,163,6/12/10,NaN,NaN,3450
2011,Green3,165,6/14/10,179,6/28/11,NaN,NaN,3450
2012,Green3,122,5/1/12,141,5/20/12,299,10/25/12,3450
2013,Green3,136,5/16/13,162,6/11/13,293,10/20/13,3450
2014,Green3,119,4/29/14,160,6/9/14,305,11/1/14,3450
2015,Green3,160,6/9/15,168,6/17/15,302,10/29/15,3450
2016,Green3,NaN,NaN,164,6/12/16,324,11/19/16,3450
2017,Green3,NaN,NaN,169,6/18/17,296,10/23/17,3450
1968,Green4,NaN,NaN,211,7/29/68,NaN,NaN,3550
1969,Green4,NaN,NaN,198,7/17/69,NaN,NaN,3550
1970,Green4,NaN,NaN,202,7/21/70,NaN,NaN,3550
1973,Green4,NaN,NaN,189,7/8/73,NaN,NaN,3550
1974,Green4,NaN,NaN,196,7/15/74,NaN,NaN,3550
1981,Green4,NaN,NaN,176,6/25/81,NaN,NaN,3550
1982,Green4,NaN,NaN,207,7/26/82,283,10/10/82,3550
1983,Green4,174,6/23/83,208,7/27/83,288,10/15/83,3550
1984,Green4,178,6/26/84,201,7/19/84,284,10/10/84,3550
1985,Green4,150,5/30/85,187,7/6/85,273,9/30/85,3550
1986,Green4,170,6/19/86,201,7/20/86,289,10/16/86,3550
1987,Green4,134,5/14/87,178,6/27/87,NaN,NaN,3550
1988,Green4,147,5/26/88,189,7/7/88,310,11/5/88,3550
1989,Green4,150,5/30/89,192,7/11/89,299,10/26/89,3550
1990,Green4,165,6/14/90,189,7/8/90,286,10/13/90,3550
1991,Green4,144,5/24/91,189,7/8/91,301,10/28/91,3550
1992,Green4,140,5/19/92,189,7/7/92,299,10/25/92,3550
1993,Green4,145,5/25/93,216,8/4/93,291,10/18/93,3550
1994,Green4,146,5/26/94,180,6/29/94,286,10/13/94,3550
1995,Green4,173,6/22/95,220,8/8/95,278,10/5/95,3550
1996,Green4,163,6/11/96,199,7/17/96,275,10/1/96,3550
1997,Green4,168,6/17/97,200,7/19/97,291,10/18/97,3550
1998,Green4,176,6/25/98,200,7/19/98,283,10/10/98,3550
1999,Green4,163,6/12/99,195,7/14/99,289,10/16/99,3550
2000,Green4,158,6/6/00,183,7/1/00,305,10/31/00,3550
2001,Green4,151,5/31/01,183,7/2/01,284,10/11/01,3550
2002,Green4,150,5/30/02,159,6/8/02,291,10/18/02,3550
2003,Green4,135,5/15/03,193,7/12/03,301,10/28/03,3550
2004,Green4,160,6/8/04,189,7/7/04,301,10/27/04,3550
2005,Green4,144,5/24/05,196,7/15/05,309,11/5/05,3550
2006,Green4,145,5/25/06,186,7/5/06,288,10/15/06,3550
2007,Green4,137,5/17/07,182,7/1/07,293,10/20/07,3550
2008,Green4,154,6/2/08,192,7/10/08,310,11/5/08,3550
2009,Green4,160,6/9/09,196,7/15/09,295,10/22/09,3550
2010,Green4,159,6/8/10,191,7/10/10,300,10/27/10,3550
2011,Green4,174,6/23/11,217,8/5/11,299,10/26/11,3550
2012,Green4,131,5/10/12,168,6/16/12,297,10/23/12,3550
2013,Green4,148,5/28/13,188,7/7/13,288,10/15/13,3550
2014,Green4,137,5/17/14,196,7/15/14,304,10/31/14,3550
2015,Green4,162,6/11/15,189,7/8/15,296,10/23/15,3550
2016,Green4,NaN,NaN,182,6/30/16,316,11/11/16,3550
2017,Green4,NaN,NaN,NaN,NaN,290,10/17/17,3550
1968,Green5,NaN,NaN,216,8/3/68,NaN,NaN,3620
1969,Green5,NaN,NaN,NaN,NaN,NaN,NaN,3620
1970,Green5,NaN,NaN,NaN,NaN,NaN,NaN,3620
1973,Green5,NaN,NaN,NaN,NaN,NaN,NaN,3620
1974,Green5,NaN,NaN,NaN,NaN,NaN,NaN,3620
1981,Green5,NaN,NaN,181,6/30/81,NaN,NaN,3620
